acd_name,openalex_id,openalex_display_name,last_known_institution,institution_country,works_count,h_index,aunz_ever,confidence,resolution_method,priority,pub_count,citation_count,i10_index,fwci_mean,fwci_median,oa_rate,intl_collab_rate,first_author_pct,last_author_pct,grants_count,first_year,last_year,trial_count,derm_pub_count,derm_relevance_rate,pub_count_pctile,citation_count_pctile,h_index_pctile,oa_rate_pctile,intl_collab_rate_pctile,grants_count_pctile,total_citations,accepted,clinical_expertise,research_expertise,state,orcid
A/Prof Anne Howard,A5074376223,Anne Howard,The Royal Melbourne Hospital,AU,198.0,16.0,1.0,HIGH,restored_manual_review,must,198.0,742.0,25.0,1.87,0.82,,,,,,,,,,,97.12793733681464,,93.86422976501304,,,,742.0,,"Internal disease associated skin diseases, skin cancer, vulvovaginal dermatology, eczema, psoriasis, hyperhidrosis (excessive sweating), hidradenitis suppurativa (recurrent boils) and paediatric dermatology, nail disorders | HS Hidradenitis Suppurativa; Vulva dermatology",Health Sciences Research and Education; Nail Diseases and Treatments; Innovations in Medical Education; Autoimmune Bullous Skin Diseases; Palliative Care and End-of-Life Issues,,
A/Prof Douglas Gin,A5085969478,Douglas Chan Su Gin,Alfred Health,AU,2.0,1.0,1.0,HIGH,manual_override_corrected,must,2.0,45.0,1.0,0.7954,0.7954,1.0,0.5,0.0,0.5,0.0,2019.0,2023.0,0.0,1.0,50.0,17.362924281984334,31.967213114754102,79.11227154046998,96.31147540983606,80.19125683060109,41.39344262295082,45.0,,"General dermatology (in particular psoriasis, eczema, vitiligo), paediatric, skin cancer, skin cancer surgery",Antibiotic Resistance in Bacteria; Pharmaceutical and Antibiotic Environmental Impacts; Contact Dermatitis and Allergies; Drug-Induced Adverse Reactions; Autoimmune Bullous Skin Diseases,,
Prof Gayle Fischer,A5044429182,Gayle Fischer,The University of Sydney,AU,294.0,39.0,1.0,HIGH,manual_override_corrected,must,292.0,5111.0,93.0,1.2091207864814817,0.19465,0.1546762589928057,0.1164383561643835,0.4931506849315068,0.3527397260273973,0.0,1960.0,2025.0,0.0,197.0,67.5,98.69451697127938,97.54098360655738,98.43342036553526,32.51366120218579,34.69945355191257,41.39344262295082,5111.0,,Paediatric and gynaecological dermatology | Women's dermatology,Genital Health and Disease; Dermatology and Skin Diseases; Autoimmune Bullous Skin Diseases; Eosinophilic Disorders and Syndromes; Autoimmune and Inflammatory Disorders,,0000-0002-6382-2576
Adj A/Prof Gregory Siller,A5041267982,Gregory Siller,Princess Alexandra Hospital,AU,8.0,8.0,1.0,HIGH,manual_override_corrected,must,8.0,277.0,8.0,1.6276000000000002,1.0457,0.125,0.375,0.125,0.125,0.0,1994.0,2022.0,0.0,8.0,100.0,51.174934725848566,70.3551912568306,90.46997389033945,28.688524590163933,71.58469945355192,41.39344262295082,277.0,,"Assessment and treatment of skin cancer, non-surgical management of skin cancer, assessment of allergic contact dermatitis, performs specialised allergy patch testing, hidradenitis suppurativa (recurrent boils) | HS Hidradenitis Suppurativa",Nonmelanoma Skin Cancer Studies; Cutaneous Melanoma Detection and Management; Rheumatoid Arthritis Research and Therapies; Hematopoietic Stem Cell Transplantation; Psoriasis: Treatment and Pathogenesis,,
Dr Aakriti  Gupta,A5016354767,Aakriti Gupta,Royal Adelaide Hospital,AU,12.0,7.0,1.0,HIGH,pass2_global,must,12.0,560.0,7.0,2.006736363636364,0.6214,0.4166666666666667,0.1666666666666666,0.6666666666666666,0.0,0.0,2010.0,2021.0,0.0,3.0,25.0,60.835509138381205,83.60655737704919,38.642297650130544,70.62841530054644,42.48633879781421,41.39344262295082,560.0,,"Skin cancer, Hyperhidrosis (excessive sweating), laser dermatology | Psoriasis",Atrial Fibrillation Management and Outcomes; Cardiac Arrhythmias and Treatments; Airway Management and Intubation Techniques; Pediatric Pain Management Techniques; Ear and Head Tumors,,0000-0003-2392-1868
Dr Aaron James Robinson,A5105758110,Aaron James Robinson,Bangor University,GB,4.0,2.0,0.0,HIGH,manual_override_corrected,must,4.0,8.0,0.0,1.3873666666666669,0.6782,0.5,0.25,1.0,0.0,10.0,2004.0,2023.0,0.0,2.0,50.0,31.59268929503917,13.25136612021858,83.28981723237598,80.60109289617486,55.32786885245902,95.08196721311477,8.0,,"Medical and Surgical Dermatology, Including Skin Cancer Surveillance and Management, Acne, Alopecia, Hyperhidrosis, Hidradenitis suppurativa and Inflammatory Skin Conditions such as Psoriasis, Eczema and Urticaria | HS Hidradenitis Suppurativa; Hyperhidrosis (excessive sweating)",Biblical Studies and Interpretation; Parathyroid Disorders and Treatments; Virus-based gene therapy research; Retinal Development and Disorders; Adenosine and Purinergic Signaling,,
Dr Adam Thomas Sheridan,A5031507930,Adam T Sheridan,The Alfred Hospital,AU,15.0,9.0,1.0,HIGH,pass2b_coauth_bootstrap,must,15.0,396.0,8.0,1.1935195078571428,0.39955,0.0666666666666666,0.5333333333333333,0.4,0.2,0.0,1999.0,2025.0,0.0,15.0,100.0,67.75456919060052,77.59562841530054,38.642297650130544,24.59016393442623,85.10928961748634,41.39344262295082,396.0,,"Comprehensive skin cancer management, Melanoa, Photodamage, Mohs Micrographic Surgery, Medical Lasers, Hyperhidrosis (excessive sweating), Acne, Rosacea and Poikiloderma, Scar revision, Pigment disorders and Asian skin concerns | Mohs Surgery; Cosmetic dermatology; Melanoma",Reconstructive Facial Surgery Techniques; Reconstructive Surgery and Microvascular Techniques; Nonmelanoma Skin Cancer Studies; Cutaneous Melanoma Detection and Management; Hair Growth and Disorders,,
Dr Adrian Cheow Yang See,A5031668156,Adrian See,Institut national de recherche en sciences et technologies du numérique,FR,8.0,6.0,1.0,HIGH,pass3_llm_high,must,8.0,200.0,6.0,0.7473124999999999,0.67555,0.0,0.5,0.375,0.25,0.0,2001.0,2005.0,0.0,8.0,100.0,51.174934725848566,62.97814207650273,38.642297650130544,11.74863387978142,80.19125683060109,41.39344262295082,200.0,,"Cosmetic Dermatology, Mohs Surgery, acne, psoriasis, skin cancer, pigmentarty disorders (vitiligo), laser treatment, Hidradenitis suppurativa (recurrent boils) | HS Hidradenitis Suppurativa",Cutaneous Melanoma Detection and Management; Cutaneous lymphoproliferative disorders research; Telemedicine and Telehealth Implementation; Vascular Tumors and Angiosarcomas; Sarcoma Diagnosis and Treatment,,
A/Prof Adrian Wah-Ying Mar,A5049644243,Adrian Mar,Monash Health,AU,43.0,12.0,1.0,HIGH,pass2b_coauth_bootstrap,must,43.0,574.0,13.0,0.9470075,0.3863,0.3095238095238095,0.1395348837209302,0.1395348837209302,0.2558139534883721,0.0,1995.0,2026.0,0.0,38.0,88.4,87.33681462140991,84.01639344262296,38.642297650130544,53.00546448087432,38.25136612021858,41.39344262295082,574.0,,"Psoriasis, Vitiligo, Hyperhidrosis (excessive sweating), Hair, Hidradenitis suppurativa (recurrent boils), nail disorders | HS Hidradenitis Suppurativa; Paediatric",Dermatology and Skin Diseases; Urticaria and Related Conditions; Cutaneous Melanoma Detection and Management; Nonmelanoma Skin Cancer Studies; Food Allergy and Anaphylaxis Research,,0000-0003-2570-3370
Dr Alain Khoi Tran,A5037615804,Alain Khoi Tran,Skin Health Institute,AU,6.0,3.0,1.0,HIGH,pass2b_coauth_bootstrap,must,6.0,30.0,1.0,0.6582,0.3540999999999999,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0,2019.0,2025.0,0.0,6.0,100.0,41.38381201044387,26.36612021857924,38.642297650130544,57.240437158469945,42.48633879781421,41.39344262295082,30.0,,"Hyperhidrosis (excessive sweating), surgical and non-surgical management of skin cancers | Surgical dermatology",melanin and skin pigmentation; Cell Adhesion Molecules Research; Monoclonal and Polyclonal Antibodies Research; Salivary Gland Tumors Diagnosis and Treatment; Drug-Induced Adverse Reactions,,0000-0002-9034-918X
